tcp        0      0 127.0.0.1:9229          0.0.0.0:*               LISTEN      409586/node         
tcp        0      0 127.0.0.1:35832         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:35820         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:57002         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:33160         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:37730         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:33164         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:37746         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:49166         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:37798         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:48968         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:37668         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:57058         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:33202         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:59726         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:57082         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:33036         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:57102         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:35786         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:33116         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:35808         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:57006         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:37796         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:59752         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:49056         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:33174         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:49096         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:59800         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:57052         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:49170         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:59850         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:49008         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:33062         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:59712         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:37708         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:57070         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:59788         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:59838         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:49128         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:37680         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:49072         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:57022         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:33030         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:49080         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:56988         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:37802         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:59872         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:59706         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:33048         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:49004         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:48966         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:33086         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:49138         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:59786         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:57038         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:37786         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:49112         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:37652         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:33146         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:59772         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:35758         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:35806         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:59832         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:56984         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:48976         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:37692         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:59824         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:49152         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:37676         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:37704         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:33078         127.0.0.1:9229          TIME_WAIT   -                   
